x_mm,y_mm,z_mm
-1.600000000000000355e+01,-4.800000000000004263e+00,6.400000000000000000e+01
2.160000000000000142e+01,-2.960000000000000142e+01,7.360000000000000853e+01
4.799999999999997158e+00,3.520000000000000284e+01,2.320000000000000284e+01
3.199999999999999289e+00,-1.280000000000000071e+01,1.760000000000000142e+01
1.200000000000000000e+01,1.039999999999999858e+01,7.200000000000000000e+01
-1.920000000000000284e+01,9.600000000000001421e+00,1.760000000000000142e+01
-1.600000000000001421e+00,-3.360000000000000142e+01,6.240000000000000568e+01
-8.000000000000001776e+00,2.400000000000000000e+01,4.720000000000000284e+01
1.279999999999999716e+01,-2.480000000000000426e+01,4.560000000000000142e+01
-8.800000000000002487e+00,-1.840000000000000213e+01,3.920000000000000284e+01
1.119999999999999574e+01,1.200000000000000000e+01,3.520000000000000284e+01
-2.400000000000002132e+00,1.360000000000000142e+01,7.760000000000000853e+01
-1.200000000000000178e+01,3.440000000000000568e+01,2.240000000000000213e+01
4.799999999999997158e+00,2.800000000000000000e+01,4.960000000000000142e+01
1.760000000000000142e+01,-7.200000000000002842e+00,6.400000000000000000e+01
