x_mm,y_mm,z_mm
-1.600000000000000355e+01,-4.000000000000000000e+00,3.680000000000000426e+01
2.079999999999999716e+01,-2.080000000000000071e+01,7.520000000000000284e+01
9.600000000000001421e+00,3.279999999999999716e+01,3.920000000000000284e+01
-8.800000000000002487e+00,-2.960000000000000142e+01,7.760000000000000853e+01
7.199999999999999289e+00,-1.040000000000000213e+01,1.680000000000000071e+01
-3.200000000000002842e+00,1.360000000000000142e+01,6.879999999999999716e+01
-7.200000000000002842e+00,3.279999999999999716e+01,1.520000000000000107e+01
1.439999999999999858e+01,4.799999999999997158e+00,5.200000000000000000e+01
8.799999999999997158e+00,-3.040000000000000213e+01,4.960000000000000142e+01
-1.760000000000000142e+01,3.200000000000002842e+00,6.960000000000000853e+01
-1.920000000000000284e+01,1.600000000000000000e+01,1.440000000000000036e+01
-4.800000000000000711e+00,-2.400000000000000000e+01,4.320000000000000284e+01
